Business Name,Website,Logo,Category
Tenmou,www.tenmou.me,,Angel
Bidayatech,www.bidayatech.com,,Crowd Funding
SJ Investment,www.sj-investment.com/,,Family Office
Angivest ventures,www.angivestventures.com/,,Venture Capital
Brinc,https://www.brinc.io,,Venture Capital
Egyptian American Enterprise Fund (EAEF),www.eaefund.org/,,Private Equity
International Finance Corporation,www.ifc.org/,,Private Equity
Algebra Ventures,www.algebraventures.com,,Venture Capital
Cventures,www.cventureseg.com/,,Venture Capital
Endure Capital,www.endurecap.com/,,Venture Capital
Modus VC,,,Venture Capital
Crown Prince Foundation,https://www.cpf.jo/en,,Government Program
AB Ventures,https://abventures.vc/,,Venture Capital
Hikmaventures,www.hikmaventures.com/home/,,Venture Capital
OPIC,,,Venture Capital
Sawari Venture,,,Venture Capital
Sawari Ventures,www.sawariventures.com,,Venture Capital
B&Y Venture Partners,www.byvp.com,,Venture Capital
Phoenician Funds,www.phoenicianfunds.com,,Venture Capital
Fresha,,,Venture Capital
Rainmaking,https://rainmaking.io/office/dubai/,,Venture Capital
Akwa Group,www.akwagroup.com,,Corporate
Holmarcom,www.holmarcom.ma/,,Corporate
MAMDA MCMA,www.mamda-mcma.ma/fr,,Corporate
RMA Capital,www.rmacapital.com/,,Corporate
MB Family Office,,,Family Office
Qadri Family Office,,,Family Office
Raji Family Office,,,Family Office
Afric Invest,www.africinvest.com,,Private Equity
ALMAMED,www.almamed.com,,Private Equity
Alshall Morocco,www.alshallmaroc.com/,,Private Equity
Amethis,www.amethis.com/,,Private Equity
ASMA INVEST,www.asmainvest.com/,,Private Equity
ATLAMED,www.atlamed.ma,,Private Equity
Brookstone Partners,www.brookstonepartners.com/,,Private Equity
CDG Capital Private Equity,www.cdgcapital-pe.ma,,Private Equity
CDG Invest,www.cdg.ma/fr,,Private Equity
CFG Capital,www.cfgbank.com,,Private Equity
CIH,www.cihbank.ma,,Private Equity
Entreprises Partners,,,Private Equity
Fipar,www.fipar.ma,,Private Equity
Firogest,www.firo.ma/,,Private Equity
HOLDAGRO,www.creditagricole.ma/fr/holdagro,,Private Equity
Investima,www.sgmaroc.com/nous-connaitre/notre-groupe/nos-filiales/investima/,,Private Equity
Mediterrania Capital Partners,www.mcapitalp.com/,,Private Equity
Wendel Africa,www.wendelgroup.com/fr/teams/maroc,,Private Equity
Upline Investments,www.uplinegroup.ma,,Private Equity
Wessal Capital,,,Private Equity
Azur Partners,www.azurpartners.ma/,,Venture Capital
Glen Invest,www.gleninvest.com/,,Venture Capital
Maroc Numeric Fund,www.mnf.ma,,Venture Capital
Outlierz Ventures,www.outlierz.co/,,Venture Capital
PGS Invest,www.pgsinvest.com/,,Venture Capital
Techinvest,www.techinvest.com/,,Private Equity
Cubical Services,,,Venture Capital
Faith Capital,www.faithcapital.com/,,Venture Capital
Faith Capital,,,Venture Capital
KISP Ventures,www.kispventures.com,,Venture Capital
Kisp Ventures,,,Venture Capital
Ethmar,www.ethmar-co.com/,,Private Equity
QNB Capital,,,Venture Capital
QNB Capital,,,Venture Capital
Startup Bootcamp,,,Venture Capital
Mythod,www.mythod.com/,,Angel
Al-Rajhi Capital,www.alrajhi-capital.com/,,Corporate
Elm,www.elm.sa/ar/Pages/default.aspx,,Corporate
Islamic Development Bank,www.isdb.org/fr,,Corporate
KADEN Investment,www.kaden-sa.com/,,Corporate
Riyad Bank,,,Corporate
SaudiMed Investment Company,www.saudimed.com.sa/,,Corporate
Al Omran Investment Company,,,Family Office
Family Office,,,Family Office
ZAD Investments,www.zad.com.sa/,,Family Office
Al-Khabeer Capital,www.alkhabeer.com,,Private Equity
Alfaisaliah,www.alfaisaliah.com/Site/EN/,,Private Equity
Ejada Investment Company,www.ejadainvestment.com,,Private Equity
Falcom,www.falcom.com.sa/en/,,Private Equity
Malaz Capital,https://malazcapital.com/en/our-funds/,,Private Equity
Middle East Holding,,,Private Equity
Riyad Capital,www.riyadcapital.com/en,,Private Equity
Aljazira Capital,www.aljaziracapital.com.sa/,,Venture Capital
Cornerstone Ventures,www.cornerstone.ventures/,,Venture Capital
DAAL,www.daal.io/,,Venture Capital
Francis Capital,,,Venture Capital
Hala Ventures,www.halavc.com,,Venture Capital
Hambro Perks,https://www.hambroperks.com,,Venture Capital
Impact46,,,Venture Capital
United Gulf Financial Services North Africa,www.ugfsnorthafrica.com.tn/fr/accueil/,,Venture Capital
